"product_category","total_revenue","total_orders","avg_revenue_per_order"
"health_beauty","1412089.5300000007","8647","163.30398172776694"
"watches_gifts","1264333.1200000064","5495","230.0879199272077"
"bed_bath_table","1225209.260000004","9272","132.14077437446116"
"sports_leisure","1118256.9100000018","7530","148.50689375830038"
"computers_accessories","1032723.7699999962","6530","158.15065390505302"
"furniture_decor","880329.9199999992","6307","139.579819248454"
"housewares","758392.2499999981","5743","132.05506703813305"
"cool_stuff","691680.8900000001","3559","194.3469766788424"
"auto","669454.749999999","3810","175.70990813648265"
"garden_tools","567145.6800000016","3448","164.48540603248304"
